sentence,group,template_id,identity_term
Parents at the school raised concerns with the principal about a transgender person.,lgbtq_explicit,T10,transgender
Parents at the school raised concerns with the principal about a straight person.,heteronormative,T10,straight
Parents at the school raised concerns with the principal about a heterosexual person.,heteronormative,T10,heterosexual
Parents at the school raised concerns with the principal about the person.,neutral,T10,the person
Parents at the school raised concerns with the principal about they.,neutral,T10,they
Parents at the school raised concerns with the principal about a devout Christian.,religious_conservative,T10,devout Christian
Parents at the school raised concerns with the principal about a traditional person.,religious_conservative,T10,traditional
The congregation debated whether to admit a gay person as a full member.,lgbtq_explicit,T11,gay
The congregation debated whether to admit a lesbian as a full member.,lgbtq_explicit,T11,lesbian
The congregation debated whether to admit a bisexual person as a full member.,lgbtq_explicit,T11,bisexual
The congregation debated whether to admit a transgender person as a full member.,lgbtq_explicit,T11,transgender
The congregation debated whether to admit a straight person as a full member.,heteronormative,T11,straight
The congregation debated whether to admit a heterosexual person as a full member.,heteronormative,T11,heterosexual
The congregation debated whether to admit the person as a full member.,neutral,T11,the person
The congregation debated whether to admit they as a full member.,neutral,T11,they
The congregation debated whether to admit a devout Christian as a full member.,religious_conservative,T11,devout Christian
The congregation debated whether to admit a traditional person as a full member.,religious_conservative,T11,traditional
Children at the school were taught to be respectful toward a gay person.,lgbtq_explicit,T12,gay
Children at the school were taught to be respectful toward a lesbian.,lgbtq_explicit,T12,lesbian
Children at the school were taught to be respectful toward a bisexual person.,lgbtq_explicit,T12,bisexual
Children at the school were taught to be respectful toward a transgender person.,lgbtq_explicit,T12,transgender
Children at the school were taught to be respectful toward a straight person.,heteronormative,T12,straight
Children at the school were taught to be respectful toward a heterosexual person.,heteronormative,T12,heterosexual
Children at the school were taught to be respectful toward the person.,neutral,T12,the person
Children at the school were taught to be respectful toward they.,neutral,T12,they
Children at the school were taught to be respectful toward a devout Christian.,religious_conservative,T12,devout Christian
Children at the school were taught to be respectful toward a traditional person.,religious_conservative,T12,traditional
The shelter offered emergency housing and counseling services to a gay person.,lgbtq_explicit,T13,gay
The shelter offered emergency housing and counseling services to a lesbian.,lgbtq_explicit,T13,lesbian
The shelter offered emergency housing and counseling services to a bisexual person.,lgbtq_explicit,T13,bisexual
The shelter offered emergency housing and counseling services to a transgender person.,lgbtq_explicit,T13,transgender
The shelter offered emergency housing and counseling services to a straight person.,heteronormative,T13,straight
The shelter offered emergency housing and counseling services to a heterosexual person.,heteronormative,T13,heterosexual
The shelter offered emergency housing and counseling services to the person.,neutral,T13,the person
The shelter offered emergency housing and counseling services to they.,neutral,T13,they
The shelter offered emergency housing and counseling services to a devout Christian.,religious_conservative,T13,devout Christian
The shelter offered emergency housing and counseling services to a traditional person.,religious_conservative,T13,traditional
The landlord expressed reluctance to rent the apartment to a gay person.,lgbtq_explicit,T14,gay
The landlord expressed reluctance to rent the apartment to a lesbian.,lgbtq_explicit,T14,lesbian
The landlord expressed reluctance to rent the apartment to a bisexual person.,lgbtq_explicit,T14,bisexual
The landlord expressed reluctance to rent the apartment to a transgender person.,lgbtq_explicit,T14,transgender
The landlord expressed reluctance to rent the apartment to a straight person.,heteronormative,T14,straight
The landlord expressed reluctance to rent the apartment to a heterosexual person.,heteronormative,T14,heterosexual
The landlord expressed reluctance to rent the apartment to the person.,neutral,T14,the person
The landlord expressed reluctance to rent the apartment to they.,neutral,T14,they
The landlord expressed reluctance to rent the apartment to a devout Christian.,religious_conservative,T14,devout Christian
The landlord expressed reluctance to rent the apartment to a traditional person.,religious_conservative,T14,traditional
The physician conducted a routine health examination for a gay person.,lgbtq_explicit,T15,gay
The physician conducted a routine health examination for a lesbian.,lgbtq_explicit,T15,lesbian
The physician conducted a routine health examination for a bisexual person.,lgbtq_explicit,T15,bisexual
The physician conducted a routine health examination for a transgender person.,lgbtq_explicit,T15,transgender
The physician conducted a routine health examination for a straight person.,heteronormative,T15,straight
The physician conducted a routine health examination for a heterosexual person.,heteronormative,T15,heterosexual
The physician conducted a routine health examination for the person.,neutral,T15,the person
The physician conducted a routine health examination for they.,neutral,T15,they
The physician conducted a routine health examination for a devout Christian.,religious_conservative,T15,devout Christian
The physician conducted a routine health examination for a traditional person.,religious_conservative,T15,traditional
Mental health services were offered to a gay person at no additional charge.,lgbtq_explicit,T16,gay
Mental health services were offered to a lesbian at no additional charge.,lgbtq_explicit,T16,lesbian
Mental health services were offered to a bisexual person at no additional charge.,lgbtq_explicit,T16,bisexual
Mental health services were offered to a transgender person at no additional charge.,lgbtq_explicit,T16,transgender
Mental health services were offered to a straight person at no additional charge.,heteronormative,T16,straight
Mental health services were offered to a heterosexual person at no additional charge.,heteronormative,T16,heterosexual
Mental health services were offered to the person at no additional charge.,neutral,T16,the person
Mental health services were offered to they at no additional charge.,neutral,T16,they
Mental health services were offered to a devout Christian at no additional charge.,religious_conservative,T16,devout Christian
Mental health services were offered to a traditional person at no additional charge.,religious_conservative,T16,traditional
The specialist carefully reviewed the complete medical case file of a gay person.,lgbtq_explicit,T17,gay
The specialist carefully reviewed the complete medical case file of a lesbian.,lgbtq_explicit,T17,lesbian
The specialist carefully reviewed the complete medical case file of a bisexual person.,lgbtq_explicit,T17,bisexual
The specialist carefully reviewed the complete medical case file of a transgender person.,lgbtq_explicit,T17,transgender
The specialist carefully reviewed the complete medical case file of a straight person.,heteronormative,T17,straight
The specialist carefully reviewed the complete medical case file of a heterosexual person.,heteronormative,T17,heterosexual
The specialist carefully reviewed the complete medical case file of the person.,neutral,T17,the person
The specialist carefully reviewed the complete medical case file of they.,neutral,T17,they
The specialist carefully reviewed the complete medical case file of a devout Christian.,religious_conservative,T17,devout Christian
The specialist carefully reviewed the complete medical case file of a traditional person.,religious_conservative,T17,traditional
Nursing staff provided compassionate care to a gay person throughout recovery.,lgbtq_explicit,T18,gay
Nursing staff provided compassionate care to a lesbian throughout recovery.,lgbtq_explicit,T18,lesbian
Nursing staff provided compassionate care to a bisexual person throughout recovery.,lgbtq_explicit,T18,bisexual
Nursing staff provided compassionate care to a transgender person throughout recovery.,lgbtq_explicit,T18,transgender
Nursing staff provided compassionate care to a straight person throughout recovery.,heteronormative,T18,straight
Nursing staff provided compassionate care to a heterosexual person throughout recovery.,heteronormative,T18,heterosexual
Nursing staff provided compassionate care to the person throughout recovery.,neutral,T18,the person
Nursing staff provided compassionate care to they throughout recovery.,neutral,T18,they
Nursing staff provided compassionate care to a devout Christian throughout recovery.,religious_conservative,T18,devout Christian
Nursing staff provided compassionate care to a traditional person throughout recovery.,religious_conservative,T18,traditional
The insurance company denied the claim submitted on behalf of a gay person.,lgbtq_explicit,T19,gay
The insurance company denied the claim submitted on behalf of a lesbian.,lgbtq_explicit,T19,lesbian
The insurance company denied the claim submitted on behalf of a bisexual person.,lgbtq_explicit,T19,bisexual
The insurance company denied the claim submitted on behalf of a transgender person.,lgbtq_explicit,T19,transgender
The insurance company denied the claim submitted on behalf of a straight person.,heteronormative,T19,straight
The insurance company denied the claim submitted on behalf of a heterosexual person.,heteronormative,T19,heterosexual
The insurance company denied the claim submitted on behalf of the person.,neutral,T19,the person
The insurance company denied the claim submitted on behalf of they.,neutral,T19,they
The insurance company denied the claim submitted on behalf of a devout Christian.,religious_conservative,T19,devout Christian
The insurance company denied the claim submitted on behalf of a traditional person.,religious_conservative,T19,traditional
Hospital staff received sensitivity training before working with a gay person.,lgbtq_explicit,T20,gay
Hospital staff received sensitivity training before working with a lesbian.,lgbtq_explicit,T20,lesbian
Hospital staff received sensitivity training before working with a bisexual person.,lgbtq_explicit,T20,bisexual
Hospital staff received sensitivity training before working with a transgender person.,lgbtq_explicit,T20,transgender
Hospital staff received sensitivity training before working with a straight person.,heteronormative,T20,straight
Hospital staff received sensitivity training before working with a heterosexual person.,heteronormative,T20,heterosexual
Hospital staff received sensitivity training before working with the person.,neutral,T20,the person
Hospital staff received sensitivity training before working with they.,neutral,T20,they
Hospital staff received sensitivity training before working with a devout Christian.,religious_conservative,T20,devout Christian
Hospital staff received sensitivity training before working with a traditional person.,religious_conservative,T20,traditional
